Establishment,Full Address,Business Ownership,Inspection Focus,NAICS Code,Inspection Purpose,Union Status,Employee Count,Inspection Start Date
NOVVA DATA CENTERS - COLORADO SPRINGS,"650 SYBILLA LANE, COLORADO SPRINGS, CO, 80921",Private Sector,Safety,518210,Planned,Non-Union,20,2023-05-20
"NAT TECH, LLC","10659 GATEWAY BOULEVARD, MANASSAS, VA, 20110",Private Sector,Health,518210,Referral,Union,125,2023-05-25
KEYSTONE DIGITAL,"2301 STATE HIGHWAY 14, OZARK, MO, 65721",Private Sector,Safety,518210,Complaint,Non-Union,14,2023-06-06
"COMPASS MINING, INC.","3870 NIAGARA ST. SUITE D, DENVER, CO, 80207",Private Sector,Safety,518210,Referral,Non-Union,5,2023-07-19
GRAY MATTER HOLDINGS INC.,"1999 POLAND AVE, YOUNGSTOWN, OH, 44502",Private Sector,Safety,518210,Referral,Non-Union,8,2023-07-25
BLOCK MINING INC,"5657 COMMERCE DR, PADUCAH, KY, 42001",Private Sector,Safety,518210,Referral,Non-Union,8,2023-08-03
UNKNOWN CONTRACTOR,"737 ROCK MILL ROAD, HENDERSON, NC, 27537",Private Sector,Safety,518210,Referral,Non-Union,0,2023-08-17
H5 DATA CENTERS LLC,"1000 DENNY WAY, SEATTLE, WA, 98109",Private Sector,Health,518210,Complaint,Non-Union,2,2023-09-05
"SOUTHEASTERN CABLE, INC.","INTERSECTION OF OVERHEAD BRIDGE RD AND OLIPHANT RD, MOORESVILLE, NC, 28115",Private Sector,Safety,518210,Unprogrammed Related,Non-Union,75,2023-09-14
MODUS TECHNOLOGY INCORPORATED,"200 W. SUNSET WAY, ISSAQUAH, WA, 98027",Private Sector,Safety,518210,Referral,Non-Union,28,2023-09-20
"FIF ST GEORGE, LLC","435 EAST TABERNACLE STREET, ST GEORGE, UT, 84770",Private Sector,Health,518210,Referral,Non-Union,150,2023-09-21
AMAZON DATA SERVICES INC,"26464 CORPORATE AVE., HAYWARD, CA, 94545",Private Sector,Safety,518210,Unprogrammed Related,Non-Union,50,2023-10-03
AMAZON,"LOT 9 BLOCK 50, PRUDHOE BAY, AK, 99734",Private Sector,Safety,518210,Referral,Non-Union,2,2023-10-11
"EASTERN MICRO-GRAPHICS, INC","624 HAMPDEN STREET, HOLYOKE, MA, 01041",Private Sector,Safety,518210,Planned,Non-Union,10,2023-12-21
RESOURCE DATA MANAGEMENT,"450B VEIT ROAD, HUNTINGDON VALLEY, PA, 19006",Private Sector,Safety,518210,Planned,Non-Union,2,2024-02-14
